portable operating systems
37. /Users/siddharthasingh/Downloads/cacm/CACM-1930.html score=0.21998885
38. /Users/siddharthasingh/Downloads/cacm/CACM-1226.html score=0.21734169
39. /Users/siddharthasingh/Downloads/cacm/CACM-3141.html score=0.21734169
40. /Users/siddharthasingh/Downloads/cacm/CACM-1324.html score=0.21344522
41. /Users/siddharthasingh/Downloads/cacm/CACM-1951.html score=0.21344522
42. /Users/siddharthasingh/Downloads/cacm/CACM-2522.html score=0.21344522
43. /Users/siddharthasingh/Downloads/cacm/CACM-1236.html score=0.20095375
44. /Users/siddharthasingh/Downloads/cacm/CACM-1752.html score=0.20095375
45. /Users/siddharthasingh/Downloads/cacm/CACM-2777.html score=0.20095375
46. /Users/siddharthasingh/Downloads/cacm/CACM-0322.html score=0.1986582
47. /Users/siddharthasingh/Downloads/cacm/CACM-2624.html score=0.1986582
48. /Users/siddharthasingh/Downloads/cacm/CACM-3026.html score=0.1986582
49. /Users/siddharthasingh/Downloads/cacm/CACM-2358.html score=0.1930821
50. /Users/siddharthasingh/Downloads/cacm/CACM-2374.html score=0.1899112
51. /Users/siddharthasingh/Downloads/cacm/CACM-3137.html score=0.1899112
52. /Users/siddharthasingh/Downloads/cacm/CACM-2378.html score=0.18697147
53. /Users/siddharthasingh/Downloads/cacm/CACM-2036.html score=0.18111807
54. /Users/siddharthasingh/Downloads/cacm/CACM-3028.html score=0.18111807
55. /Users/siddharthasingh/Downloads/cacm/CACM-2184.html score=0.160763
56. /Users/siddharthasingh/Downloads/cacm/CACM-2297.html score=0.160763
57. /Users/siddharthasingh/Downloads/cacm/CACM-2622.html score=0.160763
58. /Users/siddharthasingh/Downloads/cacm/CACM-1892.html score=0.15892656
59. /Users/siddharthasingh/Downloads/cacm/CACM-2625.html score=0.15892656
60. /Users/siddharthasingh/Downloads/cacm/CACM-0696.html score=0.15825933
61. /Users/siddharthasingh/Downloads/cacm/CACM-1647.html score=0.15825933
62. /Users/siddharthasingh/Downloads/cacm/CACM-2095.html score=0.15825933
63. /Users/siddharthasingh/Downloads/cacm/CACM-2582.html score=0.15825933
64. /Users/siddharthasingh/Downloads/cacm/CACM-2972.html score=0.15825933
65. /Users/siddharthasingh/Downloads/cacm/CACM-3006.html score=0.15825933
66. /Users/siddharthasingh/Downloads/cacm/CACM-3050.html score=0.15825933
67. /Users/siddharthasingh/Downloads/cacm/CACM-3105.html score=0.15825933
68. /Users/siddharthasingh/Downloads/cacm/CACM-1517.html score=0.12660746
69. /Users/siddharthasingh/Downloads/cacm/CACM-1810.html score=0.12660746
70. /Users/siddharthasingh/Downloads/cacm/CACM-1854.html score=0.12660746
71. /Users/siddharthasingh/Downloads/cacm/CACM-1877.html score=0.12660746
72. /Users/siddharthasingh/Downloads/cacm/CACM-2342.html score=0.12660746
73. /Users/siddharthasingh/Downloads/cacm/CACM-2535.html score=0.12660746
74. /Users/siddharthasingh/Downloads/cacm/CACM-2542.html score=0.12660746
75. /Users/siddharthasingh/Downloads/cacm/CACM-2849.html score=0.12660746
76. /Users/siddharthasingh/Downloads/cacm/CACM-3002.html score=0.12660746
77. /Users/siddharthasingh/Downloads/cacm/CACM-1069.html score=0.12368815
78. /Users/siddharthasingh/Downloads/cacm/CACM-1755.html score=0.12368815
79. /Users/siddharthasingh/Downloads/cacm/CACM-2796.html score=0.12368815
80. /Users/siddharthasingh/Downloads/cacm/CACM-1050.html score=0.10307345
81. /Users/siddharthasingh/Downloads/cacm/CACM-1472.html score=0.10203751
82. /Users/siddharthasingh/Downloads/cacm/CACM-1591.html score=0.092191696
83. /Users/siddharthasingh/Downloads/cacm/CACM-2357.html score=0.08926423
84. /Users/siddharthasingh/Downloads/cacm/CACM-2868.html score=0.08926423
85. /Users/siddharthasingh/Downloads/cacm/CACM-2920.html score=0.08926423
86. /Users/siddharthasingh/Downloads/cacm/CACM-2311.html score=0.08637957
87. /Users/siddharthasingh/Downloads/cacm/CACM-2407.html score=0.08637957
88. /Users/siddharthasingh/Downloads/cacm/CACM-2345.html score=0.08110635
89. /Users/siddharthasingh/Downloads/cacm/CACM-2583.html score=0.07804462
90. /Users/siddharthasingh/Downloads/cacm/CACM-0018.html score=0.07726023
91. /Users/siddharthasingh/Downloads/cacm/CACM-0025.html score=0.07726023
92. /Users/siddharthasingh/Downloads/cacm/CACM-0597.html score=0.07726023
93. /Users/siddharthasingh/Downloads/cacm/CACM-0652.html score=0.07726023
94. /Users/siddharthasingh/Downloads/cacm/CACM-1360.html score=0.07726023
95. /Users/siddharthasingh/Downloads/cacm/CACM-1912.html score=0.07726023
96. /Users/siddharthasingh/Downloads/cacm/CACM-2479.html score=0.07300406
97. /Users/siddharthasingh/Downloads/cacm/CACM-3150.html score=0.07300406
98. /Users/siddharthasingh/Downloads/cacm/CACM-1464.html score=0.072883934
99. /Users/siddharthasingh/Downloads/cacm/CACM-1519.html score=0.072883934
100. /Users/siddharthasingh/Downloads/cacm/CACM-1534.html score=0.072883934




code optimization for space efficiency
Found 100 hits.
1. /Users/siddharthasingh/Downloads/cacm/CACM-2495.html score=0.5975083
2. /Users/siddharthasingh/Downloads/cacm/CACM-1947.html score=0.5535952
3. /Users/siddharthasingh/Downloads/cacm/CACM-1795.html score=0.53610176
4. /Users/siddharthasingh/Downloads/cacm/CACM-2748.html score=0.5280349
5. /Users/siddharthasingh/Downloads/cacm/CACM-2559.html score=0.49509066
6. /Users/siddharthasingh/Downloads/cacm/CACM-1886.html score=0.44647115
7. /Users/siddharthasingh/Downloads/cacm/CACM-2897.html score=0.43843484
8. /Users/siddharthasingh/Downloads/cacm/CACM-2904.html score=0.38659886
9. /Users/siddharthasingh/Downloads/cacm/CACM-3080.html score=0.38377044
10. /Users/siddharthasingh/Downloads/cacm/CACM-2680.html score=0.3617208
11. /Users/siddharthasingh/Downloads/cacm/CACM-2537.html score=0.3568571
12. /Users/siddharthasingh/Downloads/cacm/CACM-3171.html score=0.34712866
13. /Users/siddharthasingh/Downloads/cacm/CACM-2491.html score=0.3306753
14. /Users/siddharthasingh/Downloads/cacm/CACM-2253.html score=0.32735756
15. /Users/siddharthasingh/Downloads/cacm/CACM-2944.html score=0.3262091
16. /Users/siddharthasingh/Downloads/cacm/CACM-2929.html score=0.31939238
17. /Users/siddharthasingh/Downloads/cacm/CACM-2464.html score=0.28860432
18. /Users/siddharthasingh/Downloads/cacm/CACM-1195.html score=0.28224146
19. /Users/siddharthasingh/Downloads/cacm/CACM-1564.html score=0.2743894
20. /Users/siddharthasingh/Downloads/cacm/CACM-2423.html score=0.2743894
21. /Users/siddharthasingh/Downloads/cacm/CACM-2374.html score=0.27298838
22. /Users/siddharthasingh/Downloads/cacm/CACM-3005.html score=0.26183242
23. /Users/siddharthasingh/Downloads/cacm/CACM-2033.html score=0.26124457
24. /Users/siddharthasingh/Downloads/cacm/CACM-1651.html score=0.24911705
25. /Users/siddharthasingh/Downloads/cacm/CACM-1655.html score=0.24672866
26. /Users/siddharthasingh/Downloads/cacm/CACM-2858.html score=0.24334013
27. /Users/siddharthasingh/Downloads/cacm/CACM-3053.html score=0.24334013
28. /Users/siddharthasingh/Downloads/cacm/CACM-3054.html score=0.24068221
29. /Users/siddharthasingh/Downloads/cacm/CACM-0797.html score=0.23872675
30. /Users/siddharthasingh/Downloads/cacm/CACM-2856.html score=0.23869254
31. /Users/siddharthasingh/Downloads/cacm/CACM-2433.html score=0.2343761
32. /Users/siddharthasingh/Downloads/cacm/CACM-1234.html score=0.23171574
33. /Users/siddharthasingh/Downloads/cacm/CACM-2716.html score=0.23156588
34. /Users/siddharthasingh/Downloads/cacm/CACM-2701.html score=0.22340249
35. /Users/siddharthasingh/Downloads/cacm/CACM-1901.html score=0.22280309
36. /Users/siddharthasingh/Downloads/cacm/CACM-1542.html score=0.21061689
37. /Users/siddharthasingh/Downloads/cacm/CACM-2611.html score=0.2102991
38. /Users/siddharthasingh/Downloads/cacm/CACM-0230.html score=0.20888591
39. /Users/siddharthasingh/Downloads/cacm/CACM-1064.html score=0.20888591
40. /Users/siddharthasingh/Downloads/cacm/CACM-1289.html score=0.20888591
41. /Users/siddharthasingh/Downloads/cacm/CACM-2835.html score=0.20701887
42. /Users/siddharthasingh/Downloads/cacm/CACM-0267.html score=0.20604253
43. /Users/siddharthasingh/Downloads/cacm/CACM-1670.html score=0.20255527
44. /Users/siddharthasingh/Downloads/cacm/CACM-1992.html score=0.20255527
45. /Users/siddharthasingh/Downloads/cacm/CACM-2722.html score=0.19925252
46. /Users/siddharthasingh/Downloads/cacm/CACM-2745.html score=0.19869836
47. /Users/siddharthasingh/Downloads/cacm/CACM-2734.html score=0.19712423
48. /Users/siddharthasingh/Downloads/cacm/CACM-0066.html score=0.18918669
49. /Users/siddharthasingh/Downloads/cacm/CACM-3129.html score=0.17914577
50. /Users/siddharthasingh/Downloads/cacm/CACM-1275.html score=0.17904507
51. /Users/siddharthasingh/Downloads/cacm/CACM-1414.html score=0.17904507
52. /Users/siddharthasingh/Downloads/cacm/CACM-0048.html score=0.17705749
53. /Users/siddharthasingh/Downloads/cacm/CACM-1362.html score=0.17705749
54. /Users/siddharthasingh/Downloads/cacm/CACM-2711.html score=0.17562622
55. /Users/siddharthasingh/Downloads/cacm/CACM-2078.html score=0.17525479
56. /Users/siddharthasingh/Downloads/cacm/CACM-2133.html score=0.17524926
57. /Users/siddharthasingh/Downloads/cacm/CACM-1807.html score=0.17389299
58. /Users/siddharthasingh/Downloads/cacm/CACM-0149.html score=0.1717021
59. /Users/siddharthasingh/Downloads/cacm/CACM-1757.html score=0.1688053
60. /Users/siddharthasingh/Downloads/cacm/CACM-1223.html score=0.16849889
61. /Users/siddharthasingh/Downloads/cacm/CACM-1235.html score=0.16849351
62. /Users/siddharthasingh/Downloads/cacm/CACM-3083.html score=0.16805974
63. /Users/siddharthasingh/Downloads/cacm/CACM-1369.html score=0.1652318
64. /Users/siddharthasingh/Downloads/cacm/CACM-1204.html score=0.15765558
65. /Users/siddharthasingh/Downloads/cacm/CACM-2645.html score=0.15531684
66. /Users/siddharthasingh/Downloads/cacm/CACM-2530.html score=0.15202168
67. /Users/siddharthasingh/Downloads/cacm/CACM-2892.html score=0.15143192
68. /Users/siddharthasingh/Downloads/cacm/CACM-1708.html score=0.14958504
69. /Users/siddharthasingh/Downloads/cacm/CACM-0093.html score=0.14920422
70. /Users/siddharthasingh/Downloads/cacm/CACM-1065.html score=0.14920422
71. /Users/siddharthasingh/Downloads/cacm/CACM-2586.html score=0.14920422
72. /Users/siddharthasingh/Downloads/cacm/CACM-2389.html score=0.14902377
73. /Users/siddharthasingh/Downloads/cacm/CACM-2863.html score=0.14902377
74. /Users/siddharthasingh/Downloads/cacm/CACM-1652.html score=0.14447135
75. /Users/siddharthasingh/Downloads/cacm/CACM-1676.html score=0.14430216
76. /Users/siddharthasingh/Downloads/cacm/CACM-2836.html score=0.14363311
77. /Users/siddharthasingh/Downloads/cacm/CACM-2524.html score=0.1414585
78. /Users/siddharthasingh/Downloads/cacm/CACM-1465.html score=0.14062324
79. /Users/siddharthasingh/Downloads/cacm/CACM-2126.html score=0.13736168
80. /Users/siddharthasingh/Downloads/cacm/CACM-1523.html score=0.13666514
81. /Users/siddharthasingh/Downloads/cacm/CACM-1331.html score=0.13049494
82. /Users/siddharthasingh/Downloads/cacm/CACM-2498.html score=0.12899466
83. /Users/siddharthasingh/Downloads/cacm/CACM-2344.html score=0.12832725
84. /Users/siddharthasingh/Downloads/cacm/CACM-2950.html score=0.12738773
85. /Users/siddharthasingh/Downloads/cacm/CACM-0124.html score=0.12612447
86. /Users/siddharthasingh/Downloads/cacm/CACM-1352.html score=0.12610741
87. /Users/siddharthasingh/Downloads/cacm/CACM-1429.html score=0.12610741
88. /Users/siddharthasingh/Downloads/cacm/CACM-2365.html score=0.12610741
89. /Users/siddharthasingh/Downloads/cacm/CACM-2816.html score=0.12418647
90. /Users/siddharthasingh/Downloads/cacm/CACM-2249.html score=0.12392385
91. /Users/siddharthasingh/Downloads/cacm/CACM-1030.html score=0.123168595
92. /Users/siddharthasingh/Downloads/cacm/CACM-0693.html score=0.12267449
93. /Users/siddharthasingh/Downloads/cacm/CACM-1786.html score=0.121533155
94. /Users/siddharthasingh/Downloads/cacm/CACM-3175.html score=0.121533155
95. /Users/siddharthasingh/Downloads/cacm/CACM-3064.html score=0.121411726
96. /Users/siddharthasingh/Downloads/cacm/CACM-1735.html score=0.12019146
97. /Users/siddharthasingh/Downloads/cacm/CACM-3167.html score=0.12019146
98. /Users/siddharthasingh/Downloads/cacm/CACM-1066.html score=0.119363375
99. /Users/siddharthasingh/Downloads/cacm/CACM-1345.html score=0.119363375
100. /Users/siddharthasingh/Downloads/cacm/CACM-2262.html score=0.1168706


parallel algorithms
Found 100 hits.
1. /Users/siddharthasingh/Downloads/cacm/CACM-2973.html score=1.0088185
2. /Users/siddharthasingh/Downloads/cacm/CACM-3075.html score=0.9137456
3. /Users/siddharthasingh/Downloads/cacm/CACM-2266.html score=0.8261164
4. /Users/siddharthasingh/Downloads/cacm/CACM-1601.html score=0.76765776
5. /Users/siddharthasingh/Downloads/cacm/CACM-2557.html score=0.71334237
6. /Users/siddharthasingh/Downloads/cacm/CACM-0950.html score=0.68843037
7. /Users/siddharthasingh/Downloads/cacm/CACM-1468.html score=0.68843037
8. /Users/siddharthasingh/Downloads/cacm/CACM-3156.html score=0.68843037
9. /Users/siddharthasingh/Downloads/cacm/CACM-2433.html score=0.594452
10. /Users/siddharthasingh/Downloads/cacm/CACM-2570.html score=0.594452
11. /Users/siddharthasingh/Downloads/cacm/CACM-2289.html score=0.5686563
12. /Users/siddharthasingh/Downloads/cacm/CACM-1957.html score=0.5663724
13. /Users/siddharthasingh/Downloads/cacm/CACM-2838.html score=0.5339811
14. /Users/siddharthasingh/Downloads/cacm/CACM-2692.html score=0.48292387
15. /Users/siddharthasingh/Downloads/cacm/CACM-2114.html score=0.47197703
16. /Users/siddharthasingh/Downloads/cacm/CACM-0141.html score=0.41395304
17. /Users/siddharthasingh/Downloads/cacm/CACM-0392.html score=0.41395304
18. /Users/siddharthasingh/Downloads/cacm/CACM-1302.html score=0.41395304
19. /Users/siddharthasingh/Downloads/cacm/CACM-2685.html score=0.40970725
20. /Users/siddharthasingh/Downloads/cacm/CACM-2723.html score=0.37758163
21. /Users/siddharthasingh/Downloads/cacm/CACM-2896.html score=0.35849383
22. /Users/siddharthasingh/Downloads/cacm/CACM-1262.html score=0.35481688
23. /Users/siddharthasingh/Downloads/cacm/CACM-1367.html score=0.35481688
24. /Users/siddharthasingh/Downloads/cacm/CACM-1828.html score=0.35481688
25. /Users/siddharthasingh/Downloads/cacm/CACM-2182.html score=0.35481688
26. /Users/siddharthasingh/Downloads/cacm/CACM-2700.html score=0.35481688
27. /Users/siddharthasingh/Downloads/cacm/CACM-1158.html score=0.33452457
28. /Users/siddharthasingh/Downloads/cacm/CACM-2714.html score=0.31291908
29. /Users/siddharthasingh/Downloads/cacm/CACM-2785.html score=0.30728042
30. /Users/siddharthasingh/Downloads/cacm/CACM-0371.html score=0.29918474
31. /Users/siddharthasingh/Downloads/cacm/CACM-1795.html score=0.29568073
32. /Users/siddharthasingh/Downloads/cacm/CACM-2952.html score=0.29568073
33. /Users/siddharthasingh/Downloads/cacm/CACM-2895.html score=0.292709
34. /Users/siddharthasingh/Downloads/cacm/CACM-1811.html score=0.2897068
35. /Users/siddharthasingh/Downloads/cacm/CACM-1660.html score=0.28207406
36. /Users/siddharthasingh/Downloads/cacm/CACM-1952.html score=0.28207406
37. /Users/siddharthasingh/Downloads/cacm/CACM-2007.html score=0.28207406
38. /Users/siddharthasingh/Downloads/cacm/CACM-2342.html score=0.2644649
39. /Users/siddharthasingh/Downloads/cacm/CACM-2401.html score=0.25606704
40. /Users/siddharthasingh/Downloads/cacm/CACM-2865.html score=0.25606704
41. /Users/siddharthasingh/Downloads/cacm/CACM-3059.html score=0.25606704
42. /Users/siddharthasingh/Downloads/cacm/CACM-2080.html score=0.2508934
43. /Users/siddharthasingh/Downloads/cacm/CACM-3073.html score=0.2508934
44. /Users/siddharthasingh/Downloads/cacm/CACM-1796.html score=0.2493206
45. /Users/siddharthasingh/Downloads/cacm/CACM-0270.html score=0.2468148
46. /Users/siddharthasingh/Downloads/cacm/CACM-0804.html score=0.2468148
47. /Users/siddharthasingh/Downloads/cacm/CACM-1342.html score=0.2468148
48. /Users/siddharthasingh/Downloads/cacm/CACM-2226.html score=0.2468148
49. /Users/siddharthasingh/Downloads/cacm/CACM-2325.html score=0.2468148
50. /Users/siddharthasingh/Downloads/cacm/CACM-1569.html score=0.2365446
51. /Users/siddharthasingh/Downloads/cacm/CACM-3044.html score=0.2365446
52. /Users/siddharthasingh/Downloads/cacm/CACM-2884.html score=0.23321806
53. /Users/siddharthasingh/Downloads/cacm/CACM-2851.html score=0.23140681
54. /Users/siddharthasingh/Downloads/cacm/CACM-2902.html score=0.21591799
55. /Users/siddharthasingh/Downloads/cacm/CACM-2950.html score=0.21591799
56. /Users/siddharthasingh/Downloads/cacm/CACM-3166.html score=0.21591799
57. /Users/siddharthasingh/Downloads/cacm/CACM-1551.html score=0.21374789
58. /Users/siddharthasingh/Downloads/cacm/CACM-1374.html score=0.21155554
59. /Users/siddharthasingh/Downloads/cacm/CACM-1658.html score=0.21155554
60. /Users/siddharthasingh/Downloads/cacm/CACM-1851.html score=0.21155554
61. /Users/siddharthasingh/Downloads/cacm/CACM-1953.html score=0.21155554
62. /Users/siddharthasingh/Downloads/cacm/CACM-2417.html score=0.21155554
63. /Users/siddharthasingh/Downloads/cacm/CACM-2505.html score=0.21155554
64. /Users/siddharthasingh/Downloads/cacm/CACM-2725.html score=0.21155554
65. /Users/siddharthasingh/Downloads/cacm/CACM-2830.html score=0.21155554
66. /Users/siddharthasingh/Downloads/cacm/CACM-2863.html score=0.21155554
67. /Users/siddharthasingh/Downloads/cacm/CACM-3061.html score=0.21155554
68. /Users/siddharthasingh/Downloads/cacm/CACM-2740.html score=0.20907786
69. /Users/siddharthasingh/Downloads/cacm/CACM-1008.html score=0.20697652
70. /Users/siddharthasingh/Downloads/cacm/CACM-1380.html score=0.20697652
71. /Users/siddharthasingh/Downloads/cacm/CACM-2727.html score=0.20697652
72. /Users/siddharthasingh/Downloads/cacm/CACM-1747.html score=0.20485362
73. /Users/siddharthasingh/Downloads/cacm/CACM-1846.html score=0.20485362
74. /Users/siddharthasingh/Downloads/cacm/CACM-2175.html score=0.20485362
75. /Users/siddharthasingh/Downloads/cacm/CACM-2195.html score=0.20485362
76. /Users/siddharthasingh/Downloads/cacm/CACM-1873.html score=0.19945648
77. /Users/siddharthasingh/Downloads/cacm/CACM-1924.html score=0.19710524
78. /Users/siddharthasingh/Downloads/cacm/CACM-2146.html score=0.19710524
79. /Users/siddharthasingh/Downloads/cacm/CACM-2273.html score=0.19710524
80. /Users/siddharthasingh/Downloads/cacm/CACM-2283.html score=0.19710524
81. /Users/siddharthasingh/Downloads/cacm/CACM-2903.html score=0.19710524
82. /Users/siddharthasingh/Downloads/cacm/CACM-3006.html score=0.19710524
83. /Users/siddharthasingh/Downloads/cacm/CACM-1392.html score=0.18321247
84. /Users/siddharthasingh/Downloads/cacm/CACM-2490.html score=0.18321247
85. /Users/siddharthasingh/Downloads/cacm/CACM-2679.html score=0.18321247
86. /Users/siddharthasingh/Downloads/cacm/CACM-1200.html score=0.17740844
87. /Users/siddharthasingh/Downloads/cacm/CACM-1341.html score=0.17740844
88. /Users/siddharthasingh/Downloads/cacm/CACM-1471.html score=0.17740844
89. /Users/siddharthasingh/Downloads/cacm/CACM-1536.html score=0.17740844
90. /Users/siddharthasingh/Downloads/cacm/CACM-1554.html score=0.17740844
91. /Users/siddharthasingh/Downloads/cacm/CACM-1603.html score=0.17740844
92. /Users/siddharthasingh/Downloads/cacm/CACM-1960.html score=0.17740844
93. /Users/siddharthasingh/Downloads/cacm/CACM-2514.html score=0.17740844
94. /Users/siddharthasingh/Downloads/cacm/CACM-3175.html score=0.17740844
95. /Users/siddharthasingh/Downloads/cacm/CACM-2025.html score=0.1762963
96. /Users/siddharthasingh/Downloads/cacm/CACM-2222.html score=0.1762963
97. /Users/siddharthasingh/Downloads/cacm/CACM-2236.html score=0.1762963
98. /Users/siddharthasingh/Downloads/cacm/CACM-2362.html score=0.1762963
99. /Users/siddharthasingh/Downloads/cacm/CACM-2426.html score=0.1762963
100. /Users/siddharthasingh/Downloads/cacm/CACM-2520.html score=0.1762963


parallel processor in information retrieval
Found 100 hits.
1. /Users/siddharthasingh/Downloads/cacm/CACM-2967.html score=0.7082254
2. /Users/siddharthasingh/Downloads/cacm/CACM-2973.html score=0.5330611
3. /Users/siddharthasingh/Downloads/cacm/CACM-1811.html score=0.5117734
4. /Users/siddharthasingh/Downloads/cacm/CACM-0634.html score=0.47785187
5. /Users/siddharthasingh/Downloads/cacm/CACM-0891.html score=0.41518122
6. /Users/siddharthasingh/Downloads/cacm/CACM-2288.html score=0.40007916
7. /Users/siddharthasingh/Downloads/cacm/CACM-1927.html score=0.38666227
8. /Users/siddharthasingh/Downloads/cacm/CACM-2838.html score=0.35851768
9. /Users/siddharthasingh/Downloads/cacm/CACM-1457.html score=0.35578042
10. /Users/siddharthasingh/Downloads/cacm/CACM-2140.html score=0.3502014
11. /Users/siddharthasingh/Downloads/cacm/CACM-1699.html score=0.3482212
12. /Users/siddharthasingh/Downloads/cacm/CACM-1601.html score=0.34366482
13. /Users/siddharthasingh/Downloads/cacm/CACM-2530.html score=0.34132278
14. /Users/siddharthasingh/Downloads/cacm/CACM-2965.html score=0.34132278
15. /Users/siddharthasingh/Downloads/cacm/CACM-2976.html score=0.34132278
16. /Users/siddharthasingh/Downloads/cacm/CACM-3168.html score=0.34132278
17. /Users/siddharthasingh/Downloads/cacm/CACM-3169.html score=0.34132278
18. /Users/siddharthasingh/Downloads/cacm/CACM-1935.html score=0.3378923
19. /Users/siddharthasingh/Downloads/cacm/CACM-2519.html score=0.32636416
20. /Users/siddharthasingh/Downloads/cacm/CACM-3012.html score=0.32482266
21. /Users/siddharthasingh/Downloads/cacm/CACM-2278.html score=0.3154637
22. /Users/siddharthasingh/Downloads/cacm/CACM-1681.html score=0.31271088
23. /Users/siddharthasingh/Downloads/cacm/CACM-2114.html score=0.31200048
24. /Users/siddharthasingh/Downloads/cacm/CACM-2175.html score=0.30691025
25. /Users/siddharthasingh/Downloads/cacm/CACM-2865.html score=0.29916105
26. /Users/siddharthasingh/Downloads/cacm/CACM-1937.html score=0.29438117
27. /Users/siddharthasingh/Downloads/cacm/CACM-2882.html score=0.28522927
28. /Users/siddharthasingh/Downloads/cacm/CACM-2990.html score=0.28351814
29. /Users/siddharthasingh/Downloads/cacm/CACM-2516.html score=0.28305733
30. /Users/siddharthasingh/Downloads/cacm/CACM-1675.html score=0.2730582
31. /Users/siddharthasingh/Downloads/cacm/CACM-2645.html score=0.27148092
32. /Users/siddharthasingh/Downloads/cacm/CACM-2497.html score=0.2672108
33. /Users/siddharthasingh/Downloads/cacm/CACM-2307.html score=0.2662603
34. /Users/siddharthasingh/Downloads/cacm/CACM-1846.html score=0.26329422
35. /Users/siddharthasingh/Downloads/cacm/CACM-2455.html score=0.26295358
36. /Users/siddharthasingh/Downloads/cacm/CACM-1725.html score=0.2572509
37. /Users/siddharthasingh/Downloads/cacm/CACM-1032.html score=0.25681505
38. /Users/siddharthasingh/Downloads/cacm/CACM-2631.html score=0.25681505
39. /Users/siddharthasingh/Downloads/cacm/CACM-1959.html score=0.2559755
40. /Users/siddharthasingh/Downloads/cacm/CACM-1830.html score=0.25568587
41. /Users/siddharthasingh/Downloads/cacm/CACM-1359.html score=0.25542644
42. /Users/siddharthasingh/Downloads/cacm/CACM-1236.html score=0.25076082
43. /Users/siddharthasingh/Downloads/cacm/CACM-2711.html score=0.25076082
44. /Users/siddharthasingh/Downloads/cacm/CACM-1747.html score=0.24959369
45. /Users/siddharthasingh/Downloads/cacm/CACM-1613.html score=0.24941622
46. /Users/siddharthasingh/Downloads/cacm/CACM-0239.html score=0.24565716
47. /Users/siddharthasingh/Downloads/cacm/CACM-0275.html score=0.24565716
48. /Users/siddharthasingh/Downloads/cacm/CACM-0651.html score=0.24565716
49. /Users/siddharthasingh/Downloads/cacm/CACM-1831.html score=0.24565716
50. /Users/siddharthasingh/Downloads/cacm/CACM-2070.html score=0.24565716
51. /Users/siddharthasingh/Downloads/cacm/CACM-2532.html score=0.24565716
52. /Users/siddharthasingh/Downloads/cacm/CACM-2561.html score=0.24531764
53. /Users/siddharthasingh/Downloads/cacm/CACM-2032.html score=0.23892593
54. /Users/siddharthasingh/Downloads/cacm/CACM-2493.html score=0.23892593
55. /Users/siddharthasingh/Downloads/cacm/CACM-1960.html score=0.23832633
56. /Users/siddharthasingh/Downloads/cacm/CACM-1976.html score=0.23291051
